RT,Syllable,Position,Block,Subject,Condition,Trial
0.569,re,1,1,5,1,25
0.803,re,1,1,5,1,32
0.45,re,1,1,5,1,40
1.1,ni,3,1,5,1,16
0.489,ni,3,1,5,1,39
0.469,ni,3,1,5,1,45
0.477,fu,2,1,5,1,11
0.902,fu,2,1,5,1,18
0.571,fu,2,1,5,1,29
0.49,fu,2,1,5,1,41
0.443,pu,2,1,5,1,8
0.402,pu,2,1,5,1,14
0.32,pu,2,1,5,1,19
0.134,pu,2,1,5,1,34
0.419,ta,1,1,5,1,10
0.519,ta,1,1,5,1,25
0.786,ta,1,1,5,1,35
0.574,ta,1,1,5,1,40
0.319,me,3,1,5,1,17
0.387,me,3,1,5,1,24
0.398,me,3,1,5,1,36
0.45,ko,3,1,5,1,12
0.406,ko,3,1,5,1,24
0.45,ko,3,1,5,1,33
0.457,ko,3,1,5,1,45
0.591,ti,2,1,5,1,14
0.402,ti,2,1,5,1,32
0.617,ti,2,1,5,1,38
0.459,ti,2,1,5,1,44
0.435,ni,3,1,5,1,6
0.386,ni,3,1,5,1,27
0.537,ni,3,1,5,1,36
0.575,ni,3,1,5,1,45
0.552,re,1,1,5,1,4
0.634,re,1,1,5,1,16
0.641,re,1,1,5,1,28
0.518,re,1,1,5,1,40
0.503,fu,2,1,5,1,14
0.468,fu,2,1,5,1,29
0.468,fu,2,1,5,1,41
0.317,ru,1,1,5,1,9
0.453,ru,1,1,5,1,25
0.533,ru,1,1,5,1,34
0.14,ge,2,1,5,1,4
0.439,ge,2,1,5,1,23
0.409,su,3,1,5,1,15
0.434,su,3,1,5,1,33
0.733,su,3,1,5,1,39
0.639,su,3,1,5,1,45
0.741,pu,2,1,6,1,17
0.358,pu,2,1,6,1,25
0.542,pu,2,1,6,1,35
0.484,pu,2,1,6,1,41
0.851,ta,1,1,6,1,8
0.428,ta,1,1,6,1,19
0.567,ta,1,1,6,1,43
0.525,me,3,1,6,1,15
0.52,me,3,1,6,1,24
0.507,me,3,1,6,1,33
0.486,me,3,1,6,1,42
0.594,ko,3,1,6,1,9
0.57,ko,3,1,6,1,21
0.833,ko,3,1,6,1,40
0.084,ti,2,1,6,1,10
0.083,ti,2,1,6,1,16
0.813,ti,2,1,6,1,30
0.03,ti,2,1,6,1,37
0.584,ni,3,1,6,1,12
0.536,re,1,1,6,1,7
0.457,re,1,1,6,1,28
0.533,re,1,1,6,1,37
0.534,re,1,1,6,1,43
0.593,fu,2,1,6,1,8
0.503,fu,2,1,6,1,14
0.437,fu,2,1,6,1,29
0.419,fu,2,1,6,1,41
0.525,ru,1,1,6,1,7
0.567,ru,1,1,6,1,28
0.536,ru,1,1,6,1,34
0.705,ru,1,1,6,1,40
0.454,ge,2,1,6,1,14
0.521,ge,2,1,6,1,23
0.443,ge,2,1,6,1,32
0.439,ge,2,1,6,1,41
0.667,su,3,1,6,1,45
0.536,me,3,1,6,1,6
0.554,me,3,1,6,1,18
0.485,me,3,1,6,1,24
0.539,ti,2,1,6,1,5
0.201,ti,2,1,6,1,22
0.087,ti,2,1,6,1,28
0.253,ti,2,1,6,1,37
0.485,ta,1,1,6,1,31
0.451,ta,1,1,6,1,37
0.424,ta,1,1,6,1,43
0.393,pu,2,1,6,1,8
0.601,pu,2,1,6,1,29
0.505,pu,2,1,6,1,35
0.541,pu,2,1,6,1,41
0.558,ko,3,1,6,1,9
0.539,ko,3,1,6,1,15
0.872,ko,3,1,6,1,43
0.419,ge,2,1,6,1,14
0.389,ge,2,1,6,1,32
0.501,ge,2,1,6,1,44
0.54,ru,1,1,6,1,10
0.536,ru,1,1,6,1,25
0.674,ru,1,1,6,1,34
0.71,ru,1,1,6,1,40
0.451,su,3,1,6,1,12
0.484,su,3,1,6,1,21
0.406,su,3,1,6,1,36
0.521,su,3,1,6,1,42
0.507,re,1,1,6,1,13
0.467,re,1,1,6,1,22
0.583,re,1,1,6,1,40
0.588,ni,3,1,6,1,9
0.605,ni,3,1,6,1,15
0.652,ni,3,1,6,1,27
0.518,ni,3,1,6,1,36
0.575,fu,2,1,6,1,11
0.536,fu,2,1,6,1,26
0.684,fu,2,1,6,1,35
0.486,fu,2,1,6,1,41
0.385,ta,1,1,6,1,4
0.452,ta,1,1,6,1,28
0.204,ti,2,1,6,1,4
0.521,ti,2,1,6,1,11
0.167,ti,2,1,6,1,31
0.158,ti,2,1,6,1,37
0.587,me,3,1,6,1,6
0.488,me,3,1,6,1,18
0.705,me,3,1,6,1,24
0.601,pu,2,1,6,1,11
0.553,pu,2,1,6,1,20
0.635,pu,2,1,6,1,26
0.47,pu,2,1,6,1,35
0.568,ru,1,1,6,1,10
0.536,ru,1,1,6,1,19
0.452,ru,1,1,6,1,25
0.507,ru,1,1,6,1,43
0.524,ko,3,1,6,1,6
0.569,ko,3,1,6,1,18
0.602,ko,3,1,6,1,30
0.569,re,1,1,6,1,4
0.536,re,1,1,6,1,13
0.535,re,1,1,6,1,31
0.617,re,1,1,6,1,43
0.469,fu,2,1,6,1,5
0.486,fu,2,1,6,1,17
0.468,fu,2,1,6,1,29
0.654,fu,2,1,6,1,41
0.518,ni,3,1,6,1,9
0.587,ni,3,1,6,1,15
0.523,ni,3,1,6,1,21
0.508,ge,2,1,6,1,5
0.506,ge,2,1,6,1,17
0.652,ge,2,1,6,1,41
0.519,fe,1,1,6,1,10
0.572,fe,1,1,6,1,40
0.533,ta,1,1,7,1,10
0.436,ta,1,1,7,1,16
0.519,ta,1,1,7,1,28
0.486,ta,1,1,7,1,40
0.418,ti,2,1,7,1,11
0.593,ti,2,1,7,1,23
0.617,ti,2,1,7,1,29
