Total,FalseAlarm,HitRate,Syllable,Subject,Block,Condition,Position
4,0,1,ti,6,3,1,
3,0,0.75,me,6,3,1,
4,0,1,pu,6,3,1,
0,0,0,su,6,3,1,
4,0,1,ru,6,3,1,
4,0.25,0.75,ko,6,3,1,
4,0,1,re,6,3,1,
4,0,1,fu,6,3,1,
3,0,0.75,ni,6,3,1,
3,0,0.75,ge,6,3,1,
2,0,0.5,fe,6,3,1,
5,0.2,1,ta,7,1,1,
5,0.2,1,ti,7,1,1,
4,0,1,me,7,1,1,
3,0,0.75,pu,7,1,1,
4,0,1,su,7,1,1,
4,0,1,ru,7,1,1,
4,0,1,ko,7,1,1,
4,0,1,re,7,1,1,
4,0.5,0.5,fu,7,1,1,
5,0.2,1,ni,7,1,1,
4,0,1,ge,7,1,1,
4,0,1,fe,7,1,1,
3,0,0.75,pu,7,2,1,
4,0.25,0.75,ta,7,2,1,
4,0,1,me,7,2,1,
3,0,0.75,fe,7,2,1,
4,0,1,ko,7,2,1,
3,0,0.75,ti,7,2,1,
5,0.2,1,ni,7,2,1,
4,0,1,re,7,2,1,
4,0,1,fu,7,2,1,
4,0,1,ru,7,2,1,
4,0,1,ge,7,2,1,
4,0,1,su,7,2,1,
4,0,1,me,7,3,1,
4,0.25,0.75,ti,7,3,1,
4,0.25,0.75,ta,7,3,1,
3,0,0.75,pu,7,3,1,
4,0,1,ko,7,3,1,
4,0,1,fe,7,3,1,
4,0,1,ge,7,3,1,
4,0,1,ru,7,3,1,
3,0,0.75,su,7,3,1,
5,0.2,1,re,7,3,1,
4,0,1,ni,7,3,1,
5,0.2,1,fu,7,3,1,
7,0.571428571,0.75,ta,8,1,1,
5,0.2,1,ti,8,1,1,
3,0,0.75,me,8,1,1,
4,0.25,0.75,pu,8,1,1,
4,0,1,su,8,1,1,
4,0,1,ru,8,1,1,
4,0,1,ko,8,1,1,
3,0,0.75,re,8,1,1,
5,0.2,1,fu,8,1,1,
5,0.2,1,ni,8,1,1,
3,0,0.75,ge,8,1,1,
4,0,1,fe,8,1,1,
3,0,0.75,me,8,2,1,
3,0.333333333,0.5,ti,8,2,1,
6,0.333333333,1,ta,8,2,1,
4,0,1,pu,8,2,1,
4,0,1,ko,8,2,1,
4,0.25,0.75,fe,8,2,1,
4,0,1,ge,8,2,1,
2,0,0.5,ru,8,2,1,
4,0,1,su,8,2,1,
4,0.25,0.75,re,8,2,1,
4,0,1,ni,8,2,1,
4,0,1,fu,8,2,1,
4,0.25,0.75,pu,8,3,1,
5,0.2,1,ta,8,3,1,
4,0,1,me,8,3,1,
3,0,0.75,fe,8,3,1,
3,0,0.75,ko,8,3,1,
5,0.2,1,ti,8,3,1,
4,0,1,ni,8,3,1,
4,0,1,re,8,3,1,
4,0.25,0.75,fu,8,3,1,
3,0,0.75,ru,8,3,1,
3,0,0.75,ge,8,3,1,
4,0,1,su,8,3,1,
5,0.4,0.75,me,9,1,1,
5,0.2,1,ti,9,1,1,
3,0,0.75,ta,9,1,1,
3,0,0.75,pu,9,1,1,
3,0,0.75,ko,9,1,1,
3,0.333333333,0.5,fe,9,1,1,
4,0,1,ge,9,1,1,
4,0,1,ru,9,1,1,
3,0,0.75,su,9,1,1,
5,0.2,1,re,9,1,1,
3,0,0.75,ni,9,1,1,
4,0,1,fu,9,1,1,
3,0,0.75,pu,9,2,1,
4,0,1,ta,9,2,1,
3,0,0.75,me,9,2,1,
4,0,1,fe,9,2,1,
4,0,1,ko,9,2,1,
3,0,0.75,ti,9,2,1,
3,0,0.75,ni,9,2,1,
4,0,1,re,9,2,1,
3,0,0.75,fu,9,2,1,
4,0,1,ru,9,2,1,
4,0,1,ge,9,2,1,
4,0,1,su,9,2,1,
4,0,1,ta,9,3,1,
4,0,1,ti,9,3,1,
4,0,1,me,9,3,1,
4,0,1,pu,9,3,1,
4,0,1,su,9,3,1,
4,0,1,ru,9,3,1,
2,0,0.5,ko,9,3,1,
4,0,1,re,9,3,1,
3,0,0.75,fu,9,3,1,
4,0,1,ni,9,3,1,
4,0,1,ge,9,3,1,
