VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,Welcome0ContKey.keys,Welcome0ContKey.rt,key_resp.keys,key_resp.rt,WelcomeSound2ContKey.keys,WelcomeSound2ContKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,PracticeSoundKey.keys,PracticeSoundKey.corr,PracticeSoundKey.rt,SoundPracticeLoop.thisRepN,SoundPracticeLoop.thisTrialN,SoundPracticeLoop.thisN,SoundPracticeLoop.thisIndex,SoundPracticeLoop.ran,SoundFile,SoundMST_File,GS_File,SoundCorrect,Correct2,SoundType,,Trial,MSTSoundStrtKey.keys,MSTSoundStrtKey.rt,MSTSoundKey.keys,MSTSoundKey.corr,MSTSoundKey.rt,MSTSoundLoop.thisRepN,MSTSoundLoop.thisTrialN,MSTSoundLoop.thisN,MSTSoundLoop.thisIndex,MSTSoundLoop.ran,AttnCheck2Keys.keys,AttnCheck2Keys.rt,AttnCheck2Resp.text,SoundTask.thisRepN,SoundTask.thisTrialN,SoundTask.thisN,SoundTask.thisIndex,SoundTask.ran,Counterbalance.thisRepN,Counterbalance.thisTrialN,Counterbalance.thisN,Counterbalance.thisIndex,Counterbalance.ran,WordOrder,SoundOrder,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,Type,StartTast.keys,StartTast.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,WordCorrect,Correct_type,WordType,Condition,Attn1ContKey.keys,Attn1ContKey.rt,AttnCheckResp.text,SyllblCheckContKey.keys,SyllblCheckContKey.rt,SyllblCheckResp.keys,SyllblCheckResp.corr,SyllblCheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Target,Word1,Word2,Word3,WordTask.thisRepN,WordTask.thisTrialN,WordTask.thisN,WordTask.thisIndex,WordTask.ran,key_resp_4.keys,key_resp_4.rt,GuessSoundIntro2Cont.keys,GuessSoundIntro2Cont.rt,GSSubmit.keys,GSSubmit.rt,GSResponse.text,GuessSoundLoop.thisRepN,GuessSoundLoop.thisTrialN,GuessSoundLoop.thisN,GuessSoundLoop.thisIndex,GuessSoundLoop.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,,5c537b8b87d9ef0001f195d4,2021-03-24_18h54.06.927,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,SoundMST/ManWhistle.wav,,2,3,NEW,,A,,,2,1,0.403845,0,57,57,57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5c537b8b87d9ef0001f195d4,2021-03-24_18h54.06.927,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,SoundMST/Trumpet_B.wav,,1,1,OLD,,A,,,1,1,0.426955,0,58,58,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5c537b8b87d9ef0001f195d4,2021-03-24_18h54.06.927,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,SoundMST/Cup.wav,,2,3,NEW,,A,,,2,1,0.680755,0,59,59,59,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5c537b8b87d9ef0001f195d4,2021-03-24_18h54.06.927,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,SoundMST/Snore_E.wav,,2,2,SIMILAR,,A,,,1,0,0.21148,0,60,60,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5c537b8b87d9ef0001f195d4,2021-03-24_18h54.06.927,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,SoundMST/Airhorn.wav,,2,3,NEW,,A,,,2,1,0.488455,0,61,61,61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5c537b8b87d9ef0001f195d4,2021-03-24_18h54.06.927,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,SoundMST/Whistle_C.wav,,2,2,SIMILAR,,A,,,2,1,0.633865,0,62,62,62,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5c537b8b87d9ef0001f195d4,2021-03-24_18h54.06.927,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,SoundMST/Phone_D.wav,,2,3,NEW,,A,,,2,1,0.45032,0,63,63,63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5c537b8b87d9ef0001f195d4,2021-03-24_18h54.06.927,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,SoundMST/Sneeze_B.wav,,1,1,OLD,,A,,,1,1,1.30349,0,64,64,64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5c537b8b87d9ef0001f195d4,2021-03-24_18h54.06.927,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,SoundMST/Cat_A.wav,,1,1,OLD,,A,,,1,1,0.603995,0,65,65,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5c537b8b87d9ef0001f195d4,2021-03-24_18h54.06.927,CombinedMST_OA,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,SoundMST/Bagpipe.wav,,2,3,NEW,,A,,,2,1,0.489025,0,66,66,66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
