VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,File,Correct,participant,Age,date,expName,psychopyVersion,OS,frameRate,Welcome0ContKey.keys,Welcome0ContKey.rt,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Type,StartTast.keys,StartTast.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,WordCorrect,Correct_type,WordType,Condition,Attn1ContKey.keys,Attn1ContKey.rt,AttnCheckResp.text,SyllblCheckContKey.keys,SyllblCheckContKey.rt,SyllblCheckResp.keys,SyllblCheckResp.corr,SyllblCheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Target,Word1,Word2,Word3,WordTask.thisRepN,WordTask.thisTrialN,WordTask.thisN,WordTask.thisIndex,WordTask.ran,Counterbalance.thisRepN,Counterbalance.thisTrialN,Counterbalance.thisN,Counterbalance.thisIndex,Counterbalance.ran,WordOrder,SoundOrder,key_resp.keys,key_resp.rt,WelcomeSound2ContKey.keys,WelcomeSound2ContKey.rt,PracticeSoundKey.keys,PracticeSoundKey.corr,PracticeSoundKey.rt,SoundPracticeLoop.thisRepN,SoundPracticeLoop.thisTrialN,SoundPracticeLoop.thisN,SoundPracticeLoop.thisIndex,SoundPracticeLoop.ran,SoundMST_File,SoundCorrect,Correct2,SoundType,Trial,MSTSoundStrtKey.keys,MSTSoundStrtKey.rt,MSTSoundKey.keys,MSTSoundKey.corr,MSTSoundKey.rt,MSTSoundLoop.thisRepN,MSTSoundLoop.thisTrialN,MSTSoundLoop.thisN,MSTSoundLoop.thisIndex,MSTSoundLoop.ran,AttnCheck2Keys.keys,AttnCheck2Keys.rt,AttnCheck2Resp.text,SoundTask.thisRepN,SoundTask.thisTrialN,SoundTask.thisN,SoundTask.thisIndex,SoundTask.ran,key_resp_4.keys,key_resp_4.rt,GuessSoundIntro2Cont.keys,GuessSoundIntro2Cont.rt,GSSubmit.keys,GSSubmit.rt,GSResponse.text,GuessSoundLoop.thisRepN,GuessSoundLoop.thisTrialN,GuessSoundLoop.thisN,GuessSoundLoop.thisIndex,GuessSoundLoop.ran,GS_File,GS_Type,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,TestWords/CHU_LA_PAY.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,1,1.43734,0,11,11,11,1,2,NEW,NEW,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,0,1.863285,0,12,12,12,1,1,OLD,OLD,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/GI_TAI_SA.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,1,1.92171,0,13,13,13,1,2,NEW,SIMILAR,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/DAY_PU_MO.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,1,2.058815,0,14,14,14,1,2,NEW,NEW,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,0,2.417345,0,15,15,15,1,1,OLD,OLD,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/SA_TAI_GI.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,1,2.348425,0,16,16,16,1,2,NEW,SIMILAR,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,1,2.008895,0,17,17,17,1,2,NEW,NEW,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,0,1.36733,0,18,18,18,1,1,OLD,OLD,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/DAY_MO_PU.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,1,1.0942,0,19,19,19,1,2,NEW,SIMILAR,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,0,1.46643,0,20,20,20,1,1,OLD,OLD,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
